"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"HUGE","600","2018-06-08","2020-11-04","0","NULL","NULL"
"HUIZ","186","2020-02-12","2020-11-04","0","NULL","NULL"
"HUM","5751","1998-01-02","2020-11-06","46","2009-08-03","2020-11-03"
"HUN","3962","2005-02-14","2020-11-06","47","2009-05-08","2020-10-29"
"HUNT","600","2017-02-17","2019-07-25","0","NULL","NULL"
"HUNTU","265","2016-11-18","2019-07-15","0","NULL","NULL"
"HUNTW","365","2017-01-26","2019-07-23","0","NULL","NULL"
"HURC","5748","1998-01-02","2020-11-03","39","2009-05-29","2019-01-04"
"HURN","4044","2004-10-13","2020-11-03","46","2009-08-17","2020-11-02"
"HUSA","4731","2002-01-22","2020-11-03","36","2009-05-11","2018-11-13"
"HUSN","818","2017-08-08","2020-11-04","0","NULL","NULL"
"HUYA","629","2018-05-11","2020-11-06","8","2019-03-04","2020-11-11"
"HVBC","960","2017-01-12","2020-11-03","7","2017-05-12","2018-11-14"
"HVT","5751","1998-01-02","2020-11-06","46","2009-05-06","2020-10-28"
"HWBK","5360","1999-07-20","2020-11-03","40","2009-05-01","2019-01-30"
"HWC","4993","2001-01-02","2020-11-06","24","2014-01-23","2020-10-20"
"HWCC","3623","2006-06-15","2020-11-03","39","2009-05-11","2018-11-08"
"HWCPL","619","2018-05-25","2020-11-06","0","NULL","NULL"
"HWCPZ","99","2020-06-17","2020-11-04","0","NULL","NULL"
"HWKN","5748","1998-01-02","2020-11-03","43","2009-06-04","2020-10-21"
"HX","1462","2006-12-28","2020-11-03","5","2017-12-05","2018-12-03"
"HXL","5751","1998-01-02","2020-11-06","46","2009-07-27","2020-10-19"
"HY","2040","2012-10-01","2020-11-06","30","2013-02-19","2020-08-04"
"HYAC","660","2017-11-17","2020-11-03","0","NULL","NULL"
"HYACU","584","2017-10-25","2020-11-03","0","NULL","NULL"
"HYACW","410","2017-11-17","2020-11-03","0","NULL","NULL"
"HYB","5751","1998-01-02","2020-11-06","0","NULL","NULL"
"HYGS","4741","2000-11-01","2019-09-09","42","2009-05-13","2019-08-12"
"HYH","931","2014-10-21","2018-07-18","0","NULL","NULL"
"HYI","2526","2010-10-27","2020-11-06","0","NULL","NULL"
"HYLS","1937","2013-02-27","2020-11-03","0","NULL","NULL"
"HYMC","660","2018-03-12","2020-11-04","0","NULL","NULL"
"HYMCW","497","2018-03-12","2020-11-04","0","NULL","NULL"
"HYMCZ","929","2017-02-17","2020-11-04","0","NULL","NULL"
"HYND","1622","2013-12-18","2020-07-01","0","NULL","NULL"
"HYRE","597","2018-06-27","2020-11-06","9","2019-02-14","2020-11-11"
"HYT","4394","2003-05-29","2020-11-06","0","NULL","NULL"
"HYXE","1104","2016-06-17","2020-11-03","0","NULL","NULL"
"HYXF","1105","2016-06-17","2020-11-04","0","NULL","NULL"
"HYZD","1732","2013-12-18","2020-11-03","0","NULL","NULL"
"HZN","1350","2015-07-01","2020-11-06","20","2015-08-10","2020-05-18"
"HZNP","2334","2011-07-28","2020-11-03","37","2011-11-14","2020-11-02"
"HZO","5647","1998-06-03","2020-11-06","47","2009-05-07","2020-10-28"
"I","1784","2013-04-18","2020-05-18","28","2013-05-09","2020-02-20"
"IAC","5748","1998-01-02","2020-11-03","28","2014-02-05","2020-11-05"
"IAE","3430","2007-03-28","2020-11-06","0","NULL","NULL"
"IAF","5748","1998-01-02","2020-11-03","0","NULL","NULL"
"IAG","4362","2003-07-15","2020-11-06","48","2009-05-14","2020-11-04"
"IAM","367","2017-10-09","2019-03-29","0","NULL","NULL"
"IAMXR","147","2017-10-09","2019-02-20","0","NULL","NULL"
"IAMXW","216","2017-10-09","2019-02-20","0","NULL","NULL"
"IART","5748","1998-01-02","2020-11-03","47","2009-05-06","2020-10-28"
"IBA","5751","1998-01-02","2020-11-06","43","2009-07-23","2020-10-28"
"IBB","4964","2001-02-12","2020-11-03","0","NULL","NULL"
"IBBJ","66","2020-08-04","2020-11-04","0","NULL","NULL"
"IBCP","4992","2001-01-02","2020-11-03","46","2009-07-28","2020-10-27"
"IBIO","3075","2008-08-19","2020-11-03","13","2015-05-15","2018-11-13"
"IBKC","5661","1998-01-02","2020-07-01","44","2009-07-21","2020-04-17"
"IBKCN","318","2019-03-29","2020-07-01","0","NULL","NULL"
"IBKCO","1033","2016-05-23","2020-07-01","0","NULL","NULL"
"IBKCP","1218","2015-08-31","2020-07-01","0","NULL","NULL"
"IBKR","3401","2007-05-04","2020-11-03","45","2009-10-22","2020-10-20"
"IBM","5751","1998-01-02","2020-11-06","46","2009-07-16","2020-10-19"
"IBN","5188","2000-03-28","2020-11-06","39","2009-07-25","2019-08-21"
"IBO","442","2017-10-17","2019-07-26","0","NULL","NULL"
"IBOC","5748","1998-01-02","2020-11-03","38","2009-08-04","2018-11-07"
"IBP","1697","2014-02-13","2020-11-06","28","2014-03-26","2020-11-05"
"IBTA","164","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTB","137","2020-03-03","2020-11-04","0","NULL","NULL"
"IBTD","170","2020-03-03","2020-11-04","0","NULL","NULL"
"IBTE","175","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTF","175","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTG","175","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTH","175","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTI","175","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTJ","175","2020-02-28","2020-11-04","0","NULL","NULL"
"IBTK","77","2020-07-20","2020-11-04","0","NULL","NULL"
"IBTX","1912","2013-04-04","2020-11-03","31","2013-04-30","2020-10-26"
"IBUY","1145","2016-04-20","2020-11-03","0","NULL","NULL"
"ICAD","5748","1998-01-02","2020-11-03","46","2009-07-29","2020-11-05"
"ICB","4637","2000-01-03","2018-07-10","0","NULL","NULL"
"ICBK","1461","2015-01-16","2020-11-03","23","2015-04-22","2020-10-22"
"ICCC","5748","1998-01-02","2020-11-03","41","2009-05-05","2020-11-12"
"ICCH","906","2017-03-28","2020-11-03","7","2017-05-15","2018-11-06"
"ICD","1575","2014-08-08","2020-11-06","26","2014-09-11","2020-11-03"
"ICE","3770","2005-11-16","2020-11-06","47","2009-05-05","2020-10-29"
"ICFI","3550","2006-09-28","2020-11-03","47","2009-05-05","2020-11-05"
"ICHR","982","2016-12-09","2020-11-03","16","2017-02-09","2020-11-02"
"ICL","1543","2014-09-24","2020-11-06","25","2014-11-11","2020-11-12"
"ICLK","722","2017-12-21","2020-11-03","11","2018-03-28","2020-08-24"
"ICLN","3113","2008-06-25","2020-11-03","0","NULL","NULL"
"ICLR","5656","1998-05-15","2020-11-03","46","2009-07-22","2020-10-21"
"ICMB","1700","2014-02-06","2020-11-04","6","2019-09-10","2020-11-09"
"ICON","5748","1998-01-02","2020-11-03","41","2009-05-05","2020-05-12"
"ICPT","2029","2012-10-11","2020-11-03","33","2013-03-18","2020-11-09"
"ICUI","5748","1998-01-02","2020-11-03","46","2009-07-20","2020-11-05"
"IDA","5751","1998-01-02","2020-11-06","47","2009-05-07","2020-10-29"
"IDCC","5748","1998-01-02","2020-11-03","47","2009-05-06","2020-11-05"
"IDE","2712","2010-02-02","2020-11-06","0","NULL","NULL"
"IDEX","3391","2007-05-23","2020-11-06","0","NULL","NULL"
"IDLB","1258","2015-11-05","2020-11-03","0","NULL","NULL"
"IDN","5273","1999-11-19","2020-11-03","47","2009-05-07","2020-11-04"
"IDRA","5748","1998-01-02","2020-11-03","47","2009-05-06","2020-10-29"
"IDSA","5537","1998-01-02","2020-02-06","38","2009-05-15","2018-11-13"
"IDSY","5268","1999-06-30","2020-06-05","42","2009-05-07","2019-08-01"
"IDT","4902","2001-05-16","2020-11-06","36","2009-06-08","2018-12-04"
"IDTI","5347","1998-01-02","2019-06-28","39","2009-07-28","2019-01-28"
"IDXG","4992","2001-01-02","2020-11-03","26","2014-02-27","2020-10-19"
"IDXX","5748","1998-01-02","2020-11-03","46","2009-07-24","2020-10-29"
"IDYA","375","2019-05-23","2020-11-13","6","2019-08-12","2020-11-12"
"IEA","662","2018-03-26","2020-11-06","10","2019-02-14","2020-11-09"
"IEAWW","590","2018-03-28","2020-11-06","0","NULL","NULL"
"IEC","5748","1998-01-02","2020-11-03","43","2009-07-23","2020-08-05"
"IEF","4603","2002-07-26","2020-11-04","0","NULL","NULL"
"IEI","3479","2007-01-11","2020-11-03","0","NULL","NULL"
"IEP","5748","1998-01-02","2020-11-03","46","2009-05-06","2020-11-06"
"IESC","5731","1998-01-28","2020-11-03","40","2009-05-18","2019-02-05"
"IEUS","3237","2007-12-27","2020-11-03","0","NULL","NULL"
"IEX","5751","1998-01-02","2020-11-06","46","2009-07-20","2020-10-27"
"IF","4142","2001-11-14","2018-06-06","0","NULL","NULL"
"IFEU","3182","2007-12-27","2020-08-17","0","NULL","NULL"
"IFF","5751","1998-01-02","2020-11-06","46","2009-08-05","2020-11-09"
"IFFT","543","2018-09-13","2020-11-06","0","NULL","NULL"
"IFGL","3237","2007-12-27","2020-11-03","0","NULL","NULL"
"IFMK","947","2017-02-01","2020-11-03","8","2017-02-14","2018-11-14"
"IFN","5748","1998-01-02","2020-11-03","0","NULL","NULL"
"IFON","3543","2004-06-17","2018-08-03","0","NULL","NULL"
"IFRX","753","2017-11-07","2020-11-03","10","2018-08-09","2020-10-29"
"IFV","1584","2014-07-23","2020-11-03","0","NULL","NULL"
"IGA","3784","2005-10-27","2020-11-06","0","NULL","NULL"
"IGC","3100","2006-04-13","2018-08-06","39","2009-07-14","2018-10-16"
"IGD","3933","2005-03-29","2020-11-06","0","NULL","NULL"
"IGF","3247","2007-12-12","2020-11-03","0","NULL","NULL"
"IGI","2860","2009-07-01","2020-11-06","0","NULL","NULL"
"IGIB","3470","2007-01-11","2020-11-06","0","NULL","NULL"
"IGIC","162","2020-03-18","2020-11-04","0","NULL","NULL"
"IGICW","148","2020-03-19","2020-11-04","0","NULL","NULL"
"IGLD","5121","1999-08-06","2020-06-10","39","2009-05-20","2018-11-20"
"IGMS","287","2019-09-18","2020-11-04","4","2020-03-26","2020-11-05"
"IGOV","2963","2009-01-29","2020-11-03","0","NULL","NULL"
"IGR","4207","2004-02-25","2020-11-06","0","NULL","NULL"
"IGSB","3470","2007-01-11","2020-11-06","0","NULL","NULL"
"IGT","5751","1998-01-02","2020-11-06","28","2014-01-23","2020-11-11"
"IHC","5751","1998-01-02","2020-11-06","38","2009-05-11","2018-11-06"
"IHD","2400","2011-04-28","2020-11-06","0","NULL","NULL"
"IHG","4427","2003-04-10","2020-11-06","9","2010-05-11","2013-02-19"
"IHIT","996","2016-11-23","2020-11-06","0","NULL","NULL"
"IHRT","374","2019-05-07","2020-11-04","6","2019-08-15","2020-11-09"
"IHT","5748","1998-01-02","2020-11-04","35","2009-06-04","2018-12-14"
"IHTA","740","2017-11-30","2020-11-06","0","NULL","NULL"
"IID","3304","2007-09-26","2020-11-06","0","NULL","NULL"
"IIF","5751","1998-01-02","2020-11-06","0","NULL","NULL"
"III","3458","2007-02-12","2020-11-03","45","2009-05-07","2020-11-09"
"IIIN","5748","1998-01-02","2020-11-03","46","2009-07-16","2020-10-22"
"IIIV","601","2018-06-21","2020-11-06","7","2019-02-13","2020-08-10"
"IIJI","5026","1999-08-04","2019-07-26","40","2009-05-14","2019-02-06"
"IIM","5751","1998-01-02","2020-11-06","0","NULL","NULL"
"IIN","5748","1998-01-02","2020-11-03","44","2010-03-09","2020-11-09"
"IIPR","991","2016-12-01","2020-11-06","16","2017-03-22","2020-11-04"
"IIVI","5748","1998-01-02","2020-11-03","46","2009-08-04","2020-11-05"
"IIVIP","88","2020-07-02","2020-11-04","0","NULL","NULL"
